Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
aes_parameter_last_modified,microbiology,,text,AES Parameter Last Modified,,,,,,,,,,,,,
mcfarland,microbiology,,text,McFarland,,Keep as text because of range,,,,,,,,,,,
id_card,microbiology,,text,Identification Card,,,,,,,,,,,,,
id_lot_number,microbiology,,text,ID Lot Number,,,,,,,,,,,,,
id_expires,microbiology,,text,ID Expires,,,,,,,,,,,,,
id_status,microbiology,,text,ID Status,,,,,,,,,,,,,
id_analysis_time,microbiology,,text,ID Analysis Time,,,,,,,,,,,,,
id_completed,microbiology,,text,ID Completed,,,,,,,,,,,,,
organism_origin,microbiology,,text,Organism Origin,,,,,,,,,,,,,
identified_organism,microbiology,,text,Identified Organism,,,,,,,,,,,,,
organism_probability_pct,microbiology,,text,Organism Probability (%),,Numeric only,,,,,,,,,,,
id_confidence,microbiology,,text,ID Confidence,,,,,,,,,,,,,
analysis_organisms_tests_to_separate,microbiology,,notes,Analysis Organisms and Tests to Separate,,,,,,,,,,,,,
contraindicating_typical_biopatterns,microbiology,,notes,Contraindicating Typical Biopatterns,,,,,,,,,,,,,
susceptibility_card,microbiology,,text,Susceptibility Card,,,,,,,,,,,,,
susceptibility_lot_number,microbiology,,text,Susceptibility Lot Number,,,,,,,,,,,,,
susceptibility_expires,microbiology,,text,Susceptibility Expires,,,,,,,,,,,,,
susceptibility_status,microbiology,,text,Susceptibility Status,,,,,,,,,,,,,
susceptibility_analysis_time,microbiology,,text,Susceptibility Analysis Time,,,,,,,,,,,,,
susceptibility_completed,microbiology,,text,Susceptibility Completed,,,,,,,,,,,,,
aes_last_modified,microbiology,,text,AES Last Modified,,,,,,,,,,,,,
aes_parameter_set,microbiology,,text,AES Parameter Set,,,,,,,,,,,,,
aes_confidence_level,microbiology,,text,AES Confidence Level,,,,,,,,,,,,,
id_analysis_messages,microbiology,,notes,ID Analysis Messages,,,,,,,,,,,,,
comments,microbiology,,notes,Comments,,,,,,,,,,,,,
lab_id,microbiology,,text,Lab ID,,,,,,,,,,,,,
esbl_mic,microbiology,Antibiotic result fields,text,ESBL MIC 1,,,,,,,,,,,,,
esbl_interpretation_raw,microbiology,,dropdown,ESBL INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
esbl_interpretation,microbiology,,dropdown,ESBL INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ertapenem_mic,microbiology,,text,ERTAPENEM MIC 1,,,,,,,,,,,,,
ertapenem_interpretation_raw,microbiology,,dropdown,ERTAPENEM INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ertapenem_interpretation,microbiology,,dropdown,ERTAPENEM INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ampicillin_mic,microbiology,,text,AMPICILLIN MIC 1,,,,,,,,,,,,,
ampicillin_interpretation_raw,microbiology,,dropdown,AMPICILLIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ampicillin_interpretation,microbiology,,dropdown,AMPICILLIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ampicillin_sulbactam_mic,microbiology,,text,AMPICILLIN SULBACTAM MIC 1,,,,,,,,,,,,,
ampicillin_sulbactam_interpretation_raw,microbiology,,dropdown,AMPICILLIN SULBACTAM INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ampicillin_sulbactam_interpretation,microbiology,,dropdown,AMPICILLIN SULBACTAM INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
piperacillin_mic,microbiology,,text,PIPERACILLIN MIC 1,,,,,,,,,,,,,
piperacillin_interpretation_raw,microbiology,,dropdown,PIPERACILLIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
piperacillin_interpretation,microbiology,,dropdown,PIPERACILLIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefazolin_mic,microbiology,,text,CEFAZOLIN MIC 1,,,,,,,,,,,,,
cefazolin_interpretation_raw,microbiology,,dropdown,CEFAZOLIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefazolin_interpretation,microbiology,,dropdown,CEFAZOLIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefoxitin_mic,microbiology,,text,CEFOXITIN MIC 1,,,,,,,,,,,,,
cefoxitin_interpretation_raw,microbiology,,dropdown,CEFOXITIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefoxitin_interpretation,microbiology,,dropdown,CEFOXITIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ceftazidime_mic,microbiology,,text,CEFTAZIDIME MIC 1,,,,,,,,,,,,,
ceftazidime_interpretation_raw,microbiology,,dropdown,CEFTAZIDIME INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ceftazidime_interpretation,microbiology,,dropdown,CEFTAZIDIME INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ceftriaxone_mic,microbiology,,text,CEFTRIAXONE MIC 1,,,,,,,,,,,,,
ceftriaxone_interpretation_raw,microbiology,,dropdown,CEFTRIAXONE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ceftriaxone_interpretation,microbiology,,dropdown,CEFTRIAXONE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefepime_mic,microbiology,,text,CEFEPIME MIC 1,,,,,,,,,,,,,
cefepime_interpretation_raw,microbiology,,dropdown,CEFEPIME INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefepime_interpretation,microbiology,,dropdown,CEFEPIME INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
meropenem_mic,microbiology,,text,MEROPENEM MIC 1,,,,,,,,,,,,,
meropenem_interpretation_raw,microbiology,,dropdown,MEROPENEM INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
meropenem_interpretation,microbiology,,dropdown,MEROPENEM INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
amikacin_mic,microbiology,,text,AMIKACIN MIC 1,,,,,,,,,,,,,
amikacin_interpretation_raw,microbiology,,dropdown,AMIKACIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
amikacin_interpretation,microbiology,,dropdown,AMIKACIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
gentamicin_mic,microbiology,,text,GENTAMICIN MIC 1,,,,,,,,,,,,,
gentamicin_interpretation_raw,microbiology,,dropdown,GENTAMICIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
gentamicin_interpretation,microbiology,,dropdown,GENTAMICIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tobramycin_mic,microbiology,,text,TOBRAMYCIN MIC 1,,,,,,,,,,,,,
tobramycin_interpretation_raw,microbiology,,dropdown,TOBRAMYCIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tobramycin_interpretation,microbiology,,dropdown,TOBRAMYCIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ciprofloxacin_mic,microbiology,,text,CIPROFLOXACIN MIC 1,,,,,,,,,,,,,
ciprofloxacin_interpretation_raw,microbiology,,dropdown,CIPROFLOXACIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ciprofloxacin_interpretation,microbiology,,dropdown,CIPROFLOXACIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
levofloxacin_mic,microbiology,,text,LEVOFLOXACIN MIC 1,,,,,,,,,,,,,
levofloxacin_interpretation_raw,microbiology,,dropdown,LEVOFLOXACIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
levofloxacin_interpretation,microbiology,,dropdown,LEVOFLOXACIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
nitrofurantoin_mic,microbiology,,text,NITROFURANTOIN MIC 1,,,,,,,,,,,,,
nitrofurantoin_interpretation_raw,microbiology,,dropdown,NITROFURANTOIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
nitrofurantoin_interpretation,microbiology,,dropdown,NITROFURANTOIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
trimethoprim_sulfamethoxazole_mic,microbiology,,text,TRIMETHOPRIM SULFAMETHOXAZOLE MIC 1,,,,,,,,,,,,,
trimethoprim_sulfamethoxazole_interpretation_raw,microbiology,,dropdown,TRIMETHOPRIM SULFAMETHOXAZOLE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
trimethoprim_sulfamethoxazole_interpretation,microbiology,,dropdown,TRIMETHOPRIM SULFAMETHOXAZOLE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefoxitin_screen_mic,microbiology,,text,CEFOXITIN SCREEN MIC 1,,,,,,,,,,,,,
cefoxitin_screen_interpretation_raw,microbiology,,dropdown,CEFOXITIN SCREEN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
cefoxitin_screen_interpretation,microbiology,,dropdown,CEFOXITIN SCREEN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
clindamycin_mic,microbiology,,text,CLINDAMYCIN MIC 1,,,,,,,,,,,,,
clindamycin_interpretation_raw,microbiology,,dropdown,CLINDAMYCIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
clindamycin_interpretation,microbiology,,dropdown,CLINDAMYCIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
linezolid_mic,microbiology,,text,LINEZOLID MIC 1,,,,,,,,,,,,,
linezolid_interpretation_raw,microbiology,,dropdown,LINEZOLID INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
linezolid_interpretation,microbiology,,dropdown,LINEZOLID INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
oxacillin_mic,microbiology,,text,OXACILLIN MIC 1,,,,,,,,,,,,,
oxacillin_interpretation_raw,microbiology,,dropdown,OXACILLIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
oxacillin_interpretation,microbiology,,dropdown,OXACILLIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
daptomycin_mic,microbiology,,text,DAPTOMYCIN MIC 1,,,,,,,,,,,,,
daptomycin_interpretation_raw,microbiology,,dropdown,DAPTOMYCIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
daptomycin_interpretation,microbiology,,dropdown,DAPTOMYCIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
gentamicin_high_level_synergy_mic,microbiology,,text,GENTAMICIN HIGH LEVEL SYNERGY MIC 1,,,,,,,,,,,,,
gentamicin_high_level_synergy_interpretation_raw,microbiology,,dropdown,GENTAMICIN HIGH LEVEL SYNERGY INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
gentamicin_high_level_synergy_interpretation,microbiology,,dropdown,GENTAMICIN HIGH LEVEL SYNERGY INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
vancomycin_mic,microbiology,,text,VANCOMYCIN MIC 1,,,,,,,,,,,,,
vancomycin_interpretation_raw,microbiology,,dropdown,VANCOMYCIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
vancomycin_interpretation,microbiology,,dropdown,VANCOMYCIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
streptomycin_high_level_synergy_mic,microbiology,,text,STREPTOMYCIN HIGH LEVEL SYNERGY MIC 1,,,,,,,,,,,,,
streptomycin_high_level_synergy_interpretation_raw,microbiology,,dropdown,STREPTOMYCIN HIGH LEVEL SYNERGY INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
streptomycin_high_level_synergy_interpretation,microbiology,,dropdown,STREPTOMYCIN HIGH LEVEL SYNERGY INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
doxycycline_mic,microbiology,,text,DOXYCYCLINE MIC 1,,,,,,,,,,,,,
doxycycline_interpretation_raw,microbiology,,dropdown,DOXYCYCLINE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
doxycycline_interpretation,microbiology,,dropdown,DOXYCYCLINE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tetracycline_mic,microbiology,,text,TETRACYCLINE MIC 1,,,,,,,,,,,,,
tetracycline_interpretation_raw,microbiology,,dropdown,TETRACYCLINE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tetracycline_interpretation,microbiology,,dropdown,TETRACYCLINE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
tigecycline_mic,microbiology,,text,TIGECYCLINE MIC 1,,,,,,,,,,,,,
tigecycline_interpretation_raw,microbiology,,dropdown,TIGECYCLINE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
tigecycline_interpretation,microbiology,,dropdown,TIGECYCLINE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
moxifloxacin_mic,microbiology,,text,MOXIFLOXACIN MIC 1,,,,,,,,,,,,,
moxifloxacin_interpretation_raw,microbiology,,dropdown,MOXIFLOXACIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
moxifloxacin_interpretation,microbiology,,dropdown,MOXIFLOXACIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
rifampicin_mic,microbiology,,text,RIFAMPICIN MIC 1,,,,,,,,,,,,,
rifampicin_interpretation_raw,microbiology,,dropdown,RIFAMPICIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
rifampicin_interpretation,microbiology,,dropdown,RIFAMPICIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
inducible_clindamycin_resistance_mic,microbiology,,text,INDUCIBLE CLINDAMYCIN RESISTANCE MIC 1,,,,,,,,,,,,,
inducible_clindamycin_resistance_interpretation_raw,microbiology,,dropdown,INDUCIBLE CLINDAMYCIN RESISTANCE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
inducible_clindamycin_resistance_interpretation,microbiology,,dropdown,INDUCIBLE CLINDAMYCIN RESISTANCE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
erythromycin_mic,microbiology,,text,ERYTHROMYCIN MIC 1,,,,,,,,,,,,,
erythromycin_interpretation_raw,microbiology,,dropdown,ERYTHROMYCIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
erythromycin_interpretation,microbiology,,dropdown,ERYTHROMYCIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
fluconazole_mic,microbiology,,text,FLUCONAZOLE MIC 1,,,,,,,,,,,,,
fluconazole_interpretation_raw,microbiology,,dropdown,FLUCONAZOLE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
fluconazole_interpretation,microbiology,,dropdown,FLUCONAZOLE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
micafungin_mic,microbiology,,text,MICAFUNGIN MIC 1,,,,,,,,,,,,,
micafungin_interpretation_raw,microbiology,,dropdown,MICAFUNGIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
micafungin_interpretation,microbiology,,dropdown,MICAFUNGIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
voriconazole_mic,microbiology,,text,VORICONAZOLE MIC 1,,,,,,,,,,,,,
voriconazole_interpretation_raw,microbiology,,dropdown,VORICONAZOLE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
voriconazole_interpretation,microbiology,,dropdown,VORICONAZOLE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
amphotericin_b_mic,microbiology,,text,AMPHOTERICIN B MIC 1,,,,,,,,,,,,,
amphotericin_b_interpretation_raw,microbiology,,dropdown,AMPHOTERICIN B INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
amphotericin_b_interpretation,microbiology,,dropdown,AMPHOTERICIN B INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
caspofungin_mic,microbiology,,text,CASPOFUNGIN MIC 1,,,,,,,,,,,,,
caspofungin_interpretation_raw,microbiology,,dropdown,CASPOFUNGIN INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
caspofungin_interpretation,microbiology,,dropdown,CASPOFUNGIN INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
flucytosine_mic,microbiology,,text,FLUCYTOSINE MIC 1,,,,,,,,,,,,,
flucytosine_interpretation_raw,microbiology,,dropdown,FLUCYTOSINE INTERPRETATION RAW 1,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
flucytosine_interpretation,microbiology,,dropdown,FLUCYTOSINE INTERPRETATION 1,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
isolate_2,microbiology,,text,Isolate_2,,,,,,,,,,,,,
bench_2,microbiology,,text,bench_2,,,,,,,,,,,,,
isolate_status_2,microbiology,,text,Isolate Status_2,,"e.g. Approved, To be reviewed",,,,,,,,,,,
selected_organism_2,microbiology,,text,Selected Organism_2,,,,,,,,,,,,,
mcfarland_2,microbiology,,text,McFarland_2,,Keep as text because of range,,,,,,,,,,,
id_card_2,microbiology,,text,Identification Card_2,,,,,,,,,,,,,
organism_origin_2,microbiology,,text,Organism Origin_2,,,,,,,,,,,,,
identified_organism_2,microbiology,,text,Identified Organism_2,,,,,,,,,,,,,
organism_probability_pct_2,microbiology,,text,Organism Probability (%)_2,,Numeric only,,,,,,,,,,,
id_confidence_2,microbiology,,text,ID Confidence_2,,,,,,,,,,,,,
lab_id_2,microbiology,,text,Lab ID 2,,,,,,,,,,,,,
esbl_mic_2,microbiology,,text,ESBL MIC 2,,,,,,,,,,,,,
esbl_interpretation_raw_2,microbiology,,dropdown,ESBL INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
esbl_interpretation_2,microbiology,,dropdown,ESBL INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ertapenem_mic_2,microbiology,,text,ERTAPENEM MIC 2,,,,,,,,,,,,,
ertapenem_interpretation_raw_2,microbiology,,dropdown,ERTAPENEM INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ertapenem_interpretation_2,microbiology,,dropdown,ERTAPENEM INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ampicillin_mic_2,microbiology,,text,AMPICILLIN MIC 2,,,,,,,,,,,,,
ampicillin_interpretation_raw_2,microbiology,,dropdown,AMPICILLIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ampicillin_interpretation_2,microbiology,,dropdown,AMPICILLIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
ampicillin_sulbactam_mic_2,microbiology,,text,AMPICILLIN SULBACTAM MIC 2,,,,,,,,,,,,,
ampicillin_sulbactam_interpretation_raw_2,microbiology,,dropdown,AMPICILLIN SULBACTAM INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
ampicillin_sulbactam_interpretation_2,microbiology,,dropdown,AMPICILLIN SULBACTAM INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
piperacillin_mic_2,microbiology,,text,PIPERACILLIN MIC 2,,,,,,,,,,,,,
piperacillin_interpretation_raw_2,microbiology,,dropdown,PIPERACILLIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
piperacillin_interpretation_2,microbiology,,dropdown,PIPERACILLIN INTERPRETATION 2,"standard, Standard | aes_modified, AES modified | user_modified, User modified | empty, (Empty)",,,,,,,,,,,,
cefazolin_mic_2,microbiology,,text,CEFAZOLIN MIC 2,,,,,,,,,,,,,
cefazolin_interpretation_raw_2,microbiology,,dropdown,CEFAZOLIN INTERPRETATION RAW 2,"R, Resistant | I, Intermediate | S, Susceptible | POS, Positive | NEG, Negative | empty, Empty",,,,,,,,,,,,
